index,Resource_Factor,Algorithm,Total_Delay_D_mean,Total_Delay_D_std,Effective_Delay_mean,Effective_Delay_std,Avg_QoS_Q_mean,Avg_QoS_Q_std,Comp_Delay_mean,Comp_Delay_std,Comm_Delay_mean,Comm_Delay_std,Mem_Utilization_mean,Mem_Utilization_std,Penalty_Score_mean,Penalty_Score_std,Fitness_mean,Fitness_std
11,0.5,lego,3.1680891182517916,0.8839485280859045,17.563898928070728,6.366128576272069,3.3827160662548565,0.20562521574973427,3.1291508960295693,0.8847051292330794,0.03893822222222222,0.006950996340342639,0.8487690973333333,0.0829304835803,6747638.313474588,2946561.860844021,-6747650.771204112,2946565.4247490405
12,0.5,our,1.461432887109988,0.3547367573156049,12.9537528587486,7.312959716914897,2.844441363254433,0.15301021126138956,1.425560058268558,0.3533884179889374,0.035872828841430046,0.0033250782323040067,0.9973328577777778,0.0010128236102800807,3599223.8049750896,1477324.5183599675,-3599228.2676981622,1477325.9024767913
13,0.5,random-m,3.184610503537285,1.0070349128022307,17.885062578791754,6.042513521156103,3.3916478924948663,0.19101988649905083,3.1454746976970336,1.0051076706677227,0.03913580584025162,0.006207545837386131,0.8655054093333334,0.07731602124696027,6640313.214994485,3001296.1430586553,-6640325.74639911,3001300.0967419017
14,0.7,cds-m,2.099468638750511,1.2317229849184945,6.286772967934388,3.873569294357373,3.421226073369801,0.21304887508920556,2.0614228709595053,1.2288519309371395,0.0380457677910053,0.006114798193214904,0.8928871993650794,0.06253024227021849,3032473.634752772,2325880.1231102822,-3032480.710869892,2325885.579180567
15,0.7,drs,2.0592555927082943,1.2289702717170645,6.396677161877374,3.668109868017584,3.4531417246736327,0.17246888707789543,2.0173992102053546,1.22930244804235,0.04185638250293945,0.0016671375476774114,0.8861963047619048,0.06246959840027192,3070949.3867781325,2244278.569144213,-3070956.229914372,2244284.0292534945
16,0.7,ffd-m,2.1714719232744946,1.2450953990314284,6.3502947992443834,3.9362411614276307,3.354156105247572,0.20853504302867829,2.1336437552189396,1.2419094869137963,0.03782816805555556,0.0077098993142363246,0.9181961961904761,0.059928284633968494,2865039.2315246165,2226530.4659402706,-2865046.7347281273,2226536.3251118627
17,0.7,greedy-m,2.090508117547607,1.239265706150173,6.324860154126668,3.7971869137152683,3.4370087122763353,0.2061278651827527,2.0499810348284084,1.2390371984349928,0.04052708271919879,0.0015846293063512614,0.8932136765079365,0.056319368173470774,3120264.107918431,2220676.2078479747,-3120271.1234503067,2220681.664201062
18,0.7,lego,2.099468638750511,1.2317229849184945,6.286772967934388,3.873569294357373,3.421226073369801,0.21304887508920556,2.0614228709595053,1.2288519309371395,0.0380457677910053,0.006114798193214904,0.8928871993650794,0.06253024227021849,3032473.634752772,2325880.1231102822,-3032480.710869892,2325885.579180567
19,0.7,our,0.966547314318062,0.3438673048268742,4.274103441177033,3.454380841792286,3.054716527013692,0.24924017277918054,0.9299131650700844,0.344003318456057,0.036634149247977796,0.005183253752656484,0.9904887533333333,0.022082903027375866,1963287.8169725232,1670227.0120961356,-1963289.5949925676,1670228.361089231
20,0.7,random-m,2.069264854761868,1.2183232365455556,6.402097315711858,3.663408541328116,3.440500229168471,0.21691425691139232,2.0277084891061614,1.218415454117442,0.04155636565570673,0.0015387090015213688,0.8864519165079365,0.06273094128503157,3094869.4608944403,2217213.169490644,-3094876.366718485,2217218.5642159567
