Algorithm,Total_Delay_D,Effective_Delay,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Resource_Factor,Replicate,Replicate_Seed
our,1.9272846550801834,18.554842093168716,3.033117762172211,1.890985210635739,0.03629944444444444,0.9975751911111111,4771655.072416561,-4771661.675722074,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,0,10042
ffd-m,3.792004540421309,25.65550151352566,3.5110586370406978,3.7427712070879755,0.04923333333333333,0.8603903955555555,9606061.302193707,-9606076.751157772,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,0,10042
cds-m,3.792004540421309,25.65550151352566,3.5110586370406978,3.7427712070879755,0.04923333333333333,0.8603903955555555,9606061.302193707,-9606076.751157772,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,0,10042
random-m,3.792004540421309,25.65550151352566,3.5110586370406978,3.7427712070879755,0.04923333333333333,0.8603903955555555,9606061.302193707,-9606076.751157772,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,0,10042
greedy-m,3.792004540421309,25.65550151352566,3.5110586370406978,3.7427712070879755,0.04923333333333333,0.8603903955555555,9606061.302193707,-9606076.751157772,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,0,10042
lego,3.792004540421309,25.65550151352566,3.5110586370406978,3.7427712070879755,0.04923333333333333,0.8603903955555555,9606061.302193707,-9606076.751157772,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,0,10042
drs,3.792004540421309,25.65550151352566,3.5110586370406978,3.7427712070879755,0.04923333333333333,0.8603903955555555,9606061.302193707,-9606076.751157772,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,0,10042
our,0.9037860301526677,7.7461183905494675,2.900231633122933,0.8720084791322595,0.03177755102040817,0.99658724,2709572.0433617374,-2709573.662060255,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,1,10043
ffd-m,1.4590850155269692,9.987177757602703,3.078651237276172,1.4122183488603026,0.04686666666666667,0.8648509066666666,3683026.99703554,-3683031.2138093803,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,1,10043
cds-m,1.4590850155269692,9.987177757602703,3.078651237276172,1.4122183488603026,0.04686666666666667,0.8648509066666666,3683026.99703554,-3683031.2138093803,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,1,10043
random-m,0.9646481945366034,11.474239524806471,3.0479440113344656,0.9289040116361705,0.0357441829004329,0.9564682533333333,2853785.339032644,-2853787.1143296054,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,1,10043
greedy-m,1.9482240904380415,14.299855348448176,3.2634218726524526,1.9084437874077385,0.039780303030303034,0.9466186266666666,3930654.670793995,-3930661.148492574,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,1,10043
lego,1.4590850155269692,9.987177757602703,3.078651237276172,1.4122183488603026,0.04686666666666667,0.8648509066666666,3683026.99703554,-3683031.2138093803,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,1,10043
drs,2.109080525232204,14.535894077042338,3.2887810871546295,2.072163669171598,0.03691685606060606,0.9466186266666666,3930654.670793995,-3930661.927415534,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,1,10043
our,1.443055430095801,7.9079228721011345,2.606807117780128,1.4094425234291343,0.033612906666666664,0.9956158355555556,2647691.3162863655,-2647695.9247563984,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,2,10044
ffd-m,3.4449996844717683,16.3578062702083,3.525712879816806,3.412066351138435,0.03293333333333333,0.8542205377777777,6044415.022451077,-6044428.721736619,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,2,10044
cds-m,3.4449996844717683,16.3578062702083,3.525712879816806,3.412066351138435,0.03293333333333333,0.8542205377777777,6044415.022451077,-6044428.721736619,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,2,10044
random-m,3.4571967306817415,17.782591960057744,3.54253913831531,3.421773601430041,0.035423129251700686,0.8869579955555555,5863170.442455619,-5863184.185900134,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,2,10044
greedy-m,3.4540860163960274,17.77948124577203,3.54253913831531,3.421773601430041,0.0323124149659864,0.8869579955555555,5863170.442455619,-5863184.170346563,"{'congested': True, 'oom': False}",resource_factor,0.5,0.5,2,10044
