step,load_factor,cpu_factor,gpu_factor,avg_delay,avg_comp_delay,avg_comm_delay,total_penalty,stable_chains,total_chains,cpu_utilization,gpu_utilization
33,1.462,1.245,1.12,1.2662657548266365,0.6914720889807177,0.049807817812894055,0.5249858480330248,2,4,0.6859958674576261,0.5112133087294699
34,0.766,1.282,1.167,0.2486325600998973,0.20516291211740845,0.04346964798248881,0.0,4,4,0.6827904969048406,0.49783260448916605
35,1.217,0.97,0.863,1.2368035395093493,0.8600977552943044,0.04405171237882633,0.33265407183621865,3,4,0.6875567719398051,0.5258850347961754
36,0.596,1.242,0.973,0.242188794195536,0.19540378684997828,0.046785007345557704,0.0,4,4,0.6879777678125399,0.5880731412130188
37,0.702,0.884,1.048,0.3410951852960068,0.29951733693705845,0.04157784835894829,0.0,4,4,0.6837759871946487,0.3870395348481799
38,0.677,1.214,1.155,0.2520671170867954,0.20420356682173588,0.047863550265059555,0.0,4,4,0.6864537959336995,0.4704448346634711
39,1.219,0.959,1.076,1.6518699591660713,0.929081913483812,0.04989539117294465,0.6728926545093147,3,4,0.6949831839232558,0.42180079979417107
40,1.084,1.09,0.751,1.5181203245974229,1.4716603401100268,0.046459984487396175,0.0,4,4,0.669016736094437,0.6445009585572058
41,0.916,0.725,0.996,32.960702751509146,32.133400937094265,0.0491686416757192,0.7781331727391623,1,4,0.6609482533561989,0.32661707374537735
42,0.83,0.787,0.762,0.6728157062097783,0.625342432591851,0.04747327361792714,0.0,4,4,0.6620360048216475,0.4548284832932898
43,1.088,0.802,1.255,5.013516830592191,2.9726413389740283,0.04678515827763763,1.9940903333405247,1,4,0.6750953621959587,0.2830312438429036
44,1.081,0.908,1.055,2.1111949531424092,1.6003229723279608,0.04604610496653877,0.46482587584790913,2,4,0.6882336081665421,0.39264404424417393
