Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Replicate,Replicate_Seed
our,0.10157286374729786,2.1206236442073996,0.07365996241252153,0.027912901334776336,0.9548559622222222,0.0,1.6127593254709103,"{'congested': False, 'oom': False}",chain_length,3,1,43
ffd-m,0.28108155928150347,2.541993261460695,0.24553155928150344,0.03555,0.8579979977777777,0.0,1.1365854650531777,"{'congested': False, 'oom': False}",chain_length,3,1,43
cds-m,0.26826489261483677,2.541993261460695,0.24553155928150344,0.022733333333333338,0.8579979977777777,0.0,1.2006687983865112,"{'congested': False, 'oom': False}",chain_length,3,1,43
random-m,0.2771537815037257,2.541993261460695,0.2455315592815035,0.03162222222222222,0.8579979977777777,0.0,1.1562243539420665,"{'congested': False, 'oom': False}",chain_length,3,1,43
greedy-m,0.2705648926148368,2.541993261460695,0.24553155928150344,0.025033333333333338,0.8579979977777777,0.0,1.1891687983865111,"{'congested': False, 'oom': False}",chain_length,3,1,43
lego,0.26826489261483677,2.541993261460695,0.24553155928150344,0.022733333333333338,0.8579979977777777,0.0,1.2006687983865112,"{'congested': False, 'oom': False}",chain_length,3,1,43
drs,0.2743482259481701,2.541993261460695,0.24553155928150344,0.02881666666666667,0.8579979977777777,0.0,1.1702521317198444,"{'congested': False, 'oom': False}",chain_length,3,1,43
our,0.1049234493729683,3.013227147678666,0.06499527476979369,0.039928174603174604,0.9911929644444445,0.0,2.4886099008138243,"{'congested': False, 'oom': False}",chain_length,4,1,43
ffd-m,0.2120480316057209,3.5418085418884013,0.1817230316057209,0.030325,0.7412256177777777,0.0,2.4815683838597966,"{'congested': False, 'oom': False}",chain_length,4,1,43
cds-m,0.20760636493905416,3.5418085418884013,0.18172303160572084,0.025883333333333328,0.7412256177777777,0.0,2.5037767171931304,"{'congested': False, 'oom': False}",chain_length,4,1,43
random-m,0.22915636493905417,3.5418085418884013,0.18172303160572084,0.04743333333333334,0.7412256177777777,0.0,2.3960267171931307,"{'congested': False, 'oom': False}",chain_length,4,1,43
greedy-m,0.22300636493905418,3.5418085418884013,0.18172303160572084,0.04128333333333333,0.7412256177777777,0.0,2.4267767171931305,"{'congested': False, 'oom': False}",chain_length,4,1,43
lego,0.20760636493905416,3.5418085418884013,0.18172303160572084,0.025883333333333328,0.7412256177777777,0.0,2.5037767171931304,"{'congested': False, 'oom': False}",chain_length,4,1,43
drs,0.2314563649390542,3.5418085418884013,0.18172303160572084,0.04973333333333334,0.7412256177777777,0.0,2.3845267171931304,"{'congested': False, 'oom': False}",chain_length,4,1,43
our,0.061526615562770934,2.461484290571254,0.04227518248196285,0.01925143308080808,0.9846358622222222,1000.0,-997.8461487872426,"{'congested': True, 'oom': False}",chain_length,5,1,43
ffd-m,1.2290489670346734,4.30443691064677,1.1793833420346733,0.049665625000000005,0.9157238622222222,108563.89141448881,-108565.73222241334,"{'congested': True, 'oom': False}",chain_length,5,1,43
cds-m,1.527785252807813,4.3949527067651335,1.4785408083633687,0.04924444444444444,0.9818429733333334,163230.55808115547,-163233.80205471275,"{'congested': True, 'oom': False}",chain_length,5,1,43
random-m,1.23235938370134,4.30443691064677,1.1793833420346733,0.05297604166666666,0.9157238622222222,116861.69585540693,-116863.5532154148,"{'congested': True, 'oom': False}",chain_length,5,1,43
greedy-m,1.23235938370134,4.30443691064677,1.1793833420346733,0.05297604166666666,0.9157238622222222,116861.69585540693,-116863.5532154148,"{'congested': True, 'oom': False}",chain_length,5,1,43
lego,1.527785252807813,4.3949527067651335,1.4785408083633687,0.04924444444444444,0.9818429733333334,163230.55808115547,-163233.80205471275,"{'congested': True, 'oom': False}",chain_length,5,1,43
drs,1.2290489670346734,4.30443691064677,1.1793833420346733,0.049665625000000005,0.9157238622222222,108563.89141448881,-108565.73222241334,"{'congested': True, 'oom': False}",chain_length,5,1,43
our,0.060455251143032046,2.388411316065678,0.0339825395028204,0.026472711640211644,0.9670106177777777,0.0,2.086135060350518,"{'congested': False, 'oom': False}",chain_length,3,2,44
ffd-m,0.12691542904169056,2.7145613767667864,0.10541542904169057,0.0215,0.6000405666666667,0.0,2.079984231558334,"{'congested': False, 'oom': False}",chain_length,3,2,44
cds-m,0.12346542904169057,2.7145613767667864,0.10541542904169057,0.01805,0.6000405666666667,0.0,2.0972342315583337,"{'congested': False, 'oom': False}",chain_length,3,2,44
random-m,0.13156542904169058,2.7145613767667864,0.10541542904169057,0.02615,0.6000405666666667,0.0,2.0567342315583335,"{'congested': False, 'oom': False}",chain_length,3,2,44
greedy-m,0.13041542904169057,2.7145613767667864,0.10541542904169057,0.025,0.6000405666666667,0.0,2.062484231558334,"{'congested': False, 'oom': False}",chain_length,3,2,44
lego,0.12346542904169057,2.7145613767667864,0.10541542904169057,0.01805,0.6000405666666667,0.0,2.0972342315583337,"{'congested': False, 'oom': False}",chain_length,3,2,44
drs,0.13196542904169056,2.7145613767667864,0.10541542904169057,0.026549999999999997,0.6000405666666667,0.0,2.0547342315583337,"{'congested': False, 'oom': False}",chain_length,3,2,44
our,0.049496731504195916,1.9338866132977663,0.03549421827668269,0.014002513227513226,0.8946232955555555,1000.0,-998.3135970442232,"{'congested': True, 'oom': False}",chain_length,4,2,44
ffd-m,0.1960282263285319,3.428063201005238,0.1561705732673074,0.039857653061224484,0.9689817444444444,0.0,2.4479220693625785,"{'congested': False, 'oom': False}",chain_length,4,2,44
cds-m,29.2319710178943,3.5073700922954094,29.196759793404503,0.03521122448979592,0.9715863577777778,0.0,-142.6524849971761,"{'congested': False, 'oom': False}",chain_length,4,2,44
