Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Scale,n_nodes,n_task_types,chain_length,arrival_rate,Replicate,Replicate_Seed
our,0.23911225021732468,4.427285441506448,0.19536410206917654,0.04374814814814815,0.33289507733333334,0.0,3.2317241904198246,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,0,10042
ffd-m,0.10125131251074111,2.438190562852592,0.10125131251074111,0.0,0.10912115333333333,0.0,1.9319340002988867,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,0,10042
cds-m,0.10125131251074111,2.438190562852592,0.10125131251074111,0.0,0.10912115333333333,0.0,1.9319340002988867,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,0,10042
random-m,0.14932909028851882,2.438190562852592,0.10125131251074106,0.048077777777777775,0.10912115333333333,0.0,1.6915451114099982,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,0,10042
greedy-m,0.16217353473296325,2.438190562852592,0.10125131251074106,0.06092222222222221,0.10912115333333333,0.0,1.6273228891877758,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,0,10042
lego,0.10125131251074111,2.438190562852592,0.10125131251074111,0.0,0.10912115333333333,0.0,1.9319340002988867,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,0,10042
drs,0.1429068680662966,2.438190562852592,0.10125131251074106,0.04165555555555556,0.10912115333333333,0.0,1.7236562225211092,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,0,10042
our,0.30517902416537634,4.444713810349884,0.260637690832043,0.044541333333333336,0.32531375733333334,0.0,2.9188186895230026,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,1,10043
ffd-m,0.08665335994156814,2.6279697523940535,0.08665335994156814,0.0,0.124541336,0.0,2.194702952686213,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,1,10043
cds-m,0.08665335994156814,2.6279697523940535,0.08665335994156814,0.0,0.124541336,0.0,2.194702952686213,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,1,10043
random-m,0.1426111830708198,2.6279697523940535,0.0866533599415681,0.055957823129251696,0.124541336,0.0,1.9149138370399545,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,1,10043
greedy-m,0.1482125436150375,2.6279697523940535,0.0866533599415681,0.06155918367346939,0.124541336,0.0,1.886907034318866,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,1,10043
lego,0.08665335994156814,2.6279697523940535,0.08665335994156814,0.0,0.124541336,0.0,2.194702952686213,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,1,10043
drs,0.13681254361503747,2.6279697523940535,0.0866533599415681,0.05015918367346939,0.124541336,0.0,1.9439070343188662,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,1,10043
our,0.2013263994392083,4.5589297356196985,0.17069306610587495,0.030633333333333335,0.2677699453333333,0.0,3.5522977384236567,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,2,10044
ffd-m,0.06354516173107556,2.0249355263976323,0.06354516173107556,0.0,0.078280788,0.0,1.7072097177422545,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,2,10044
cds-m,0.06354516173107556,2.0249355263976323,0.06354516173107556,0.0,0.078280788,0.0,1.7072097177422545,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,2,10044
random-m,0.11874516173107556,2.0249355263976323,0.06354516173107556,0.0552,0.078280788,0.0,1.4312097177422545,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,2,10044
greedy-m,0.10699516173107557,2.0249355263976323,0.06354516173107556,0.04345,0.078280788,0.0,1.4899597177422543,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,2,10044
lego,0.06354516173107556,2.0249355263976323,0.06354516173107556,0.0,0.078280788,0.0,1.7072097177422545,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,2,10044
drs,0.12719516173107556,2.0249355263976323,0.06354516173107556,0.06365,0.078280788,0.0,1.3889597177422544,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,2,10044
our,0.13493611549565543,4.557135962909128,0.12996944882898875,0.004966666666666666,0.238384452,0.0,3.882455385430851,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,3,10045
ffd-m,0.019794111423309467,2.1094105869509248,0.019794111423309467,0.0,0.06286060533333333,0.0,2.0104400298343776,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,3,10045
cds-m,0.019794111423309467,2.1094105869509248,0.019794111423309467,0.0,0.06286060533333333,0.0,2.0104400298343776,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,3,10045
random-m,0.08652744475664279,2.1094105869509248,0.01979411142330946,0.06673333333333333,0.06286060533333333,0.0,1.6767733631677109,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,3,10045
greedy-m,0.09292744475664279,2.1094105869509248,0.01979411142330946,0.07313333333333333,0.06286060533333333,0.0,1.6447733631677108,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,3,10045
lego,0.019794111423309467,2.1094105869509248,0.019794111423309467,0.0,0.06286060533333333,0.0,2.0104400298343776,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,3,10045
drs,0.07797188920108723,2.1094105869509248,0.01979411142330946,0.05817777777777777,0.06286060533333333,0.0,1.7195511409454887,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,3,10045
our,0.13828440015283458,4.553880285108911,0.13828440015283458,0.0,0.17810146666666668,0.0,3.862458284344738,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,4,10046
ffd-m,0.01482577261303054,2.252076471601299,0.01482577261303054,0.0,0.03202024,0.0,2.1779476085361464,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,4,10046
cds-m,0.01482577261303054,2.252076471601299,0.01482577261303054,0.0,0.03202024,0.0,2.1779476085361464,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,4,10046
random-m,0.07829243927969722,2.252076471601299,0.01482577261303054,0.06346666666666667,0.03202024,0.0,1.860614275202813,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,4,10046
greedy-m,0.07835910594636387,2.252076471601299,0.01482577261303054,0.06353333333333333,0.03202024,0.0,1.8602809418694797,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,4,10046
lego,0.01482577261303054,2.252076471601299,0.01482577261303054,0.0,0.03202024,0.0,2.1779476085361464,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,4,10046
drs,0.055492439279697214,2.252076471601299,0.01482577261303054,0.04066666666666667,0.03202024,0.0,1.974614275202813,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,4,10046
our,0.16725495058289158,4.521174332340282,0.16042161724955825,0.006833333333333334,0.22485556266666668,0.0,3.684899579425824,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,5,10047
ffd-m,0.02941665426888262,2.4188878958851046,0.02941665426888262,0.0,0.06286060533333333,0.0,2.2718046245406915,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,5,10047
cds-m,0.02941665426888262,2.4188878958851046,0.02941665426888262,0.0,0.06286060533333333,0.0,2.2718046245406915,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,5,10047
random-m,0.0885944320466604,2.4188878958851046,0.029416654268882618,0.05917777777777778,0.06286060533333333,0.0,1.9759157356518027,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,5,10047
greedy-m,0.09483887649110484,2.4188878958851046,0.029416654268882618,0.06542222222222223,0.06286060533333333,0.0,1.9446935134295804,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,5,10047
lego,0.02941665426888262,2.4188878958851046,0.02941665426888262,0.0,0.06286060533333333,0.0,2.2718046245406915,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,5,10047
drs,0.08432776537999373,2.4188878958851046,0.029416654268882618,0.05491111111111112,0.06286060533333333,0.0,1.9972490689851359,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,5,10047
our,0.18673799232893207,4.456763362837996,0.17486599232893207,0.011872,0.24813890266666666,0.0,3.5230734011933356,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,6,10048
ffd-m,0.03431071876267195,2.484245217708062,0.03431071876267195,0.0,0.078280788,0.0,2.312691623894702,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,6,10048
cds-m,0.03431071876267195,2.484245217708062,0.03431071876267195,0.0,0.078280788,0.0,2.312691623894702,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,6,10048
random-m,0.09029405209600527,2.484245217708062,0.03431071876267195,0.05598333333333333,0.078280788,0.0,2.0327749572280354,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,6,10048
greedy-m,0.09379405209600528,2.484245217708062,0.03431071876267195,0.05948333333333333,0.078280788,0.0,2.0152749572280353,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,6,10048
lego,0.03431071876267195,2.484245217708062,0.03431071876267195,0.0,0.078280788,0.0,2.312691623894702,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,6,10048
drs,0.07927738542933863,2.484245217708062,0.03431071876267195,0.04496666666666667,0.078280788,0.0,2.0878582905613685,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,6,10048
our,0.27284841241448327,4.50405472522435,0.24334841241448324,0.029500000000000002,0.300930856,0.0,3.1398126631519334,"{'congested': False, 'oom': False}",scale_stability,medium,medium,5,5,5,300,7,10049
