Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Replicate,Replicate_Seed
greedy-m,0.08611390413629887,2.9738129772835444,0.061813904136298864,0.0243,0.8533806222222222,1000.0,-997.456756543398,"{'congested': True, 'oom': False}",n_task_types,30,1,43
lego,0.7171639041362988,3.4814572359260314,0.6968139041362988,0.02035,0.8533806222222222,103480.74304063173,-103480.84740291648,"{'congested': True, 'oom': False}",n_task_types,30,1,43
drs,0.08616390413629887,2.9738129772835444,0.061813904136298864,0.024350000000000004,0.8533806222222222,1000.0,-997.4570065433979,"{'congested': True, 'oom': False}",n_task_types,30,1,43
our,0.1049234493729683,3.013227147678666,0.06499527476979369,0.039928174603174604,0.9911929644444445,0.0,2.4886099008138243,"{'congested': False, 'oom': False}",n_task_types,10,2,44
ffd-m,0.2120480316057209,3.5418085418884013,0.1817230316057209,0.030325,0.7412256177777777,0.0,2.4815683838597966,"{'congested': False, 'oom': False}",n_task_types,10,2,44
cds-m,0.20760636493905416,3.5418085418884013,0.18172303160572084,0.025883333333333328,0.7412256177777777,0.0,2.5037767171931304,"{'congested': False, 'oom': False}",n_task_types,10,2,44
random-m,0.22915636493905417,3.5418085418884013,0.18172303160572084,0.04743333333333334,0.7412256177777777,0.0,2.3960267171931307,"{'congested': False, 'oom': False}",n_task_types,10,2,44
greedy-m,0.22300636493905418,3.5418085418884013,0.18172303160572084,0.04128333333333333,0.7412256177777777,0.0,2.4267767171931305,"{'congested': False, 'oom': False}",n_task_types,10,2,44
lego,0.20760636493905416,3.5418085418884013,0.18172303160572084,0.025883333333333328,0.7412256177777777,0.0,2.5037767171931304,"{'congested': False, 'oom': False}",n_task_types,10,2,44
drs,0.2314563649390542,3.5418085418884013,0.18172303160572084,0.04973333333333334,0.7412256177777777,0.0,2.3845267171931304,"{'congested': False, 'oom': False}",n_task_types,10,2,44
our,0.07762494182117483,1.7230860121732015,0.04726244182117482,0.0303625,0.9628730355555556,2000.0,-1998.6650386969327,"{'congested': True, 'oom': False}",n_task_types,20,2,44
ffd-m,0.19530173552111643,3.5856812365843513,0.18090173552111644,0.014399999999999998,0.9514599222222222,0.0,2.609172558978769,"{'congested': False, 'oom': False}",n_task_types,20,2,44
