Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Replicate,Replicate_Seed
random-m,3.0384603985123486,4.480045110461897,2.987573731845682,0.05088666666666667,0.9889443844444444,7572953.943291087,-7572964.655547969,"{'congested': True, 'oom': False}",arrival_rate,800,0,42
greedy-m,2.5201000808513982,3.9129516496337815,2.479866747518065,0.040233333333333336,0.9322614355555555,6506805.693721545,-6506814.3812703,"{'congested': True, 'oom': False}",arrival_rate,800,0,42
lego,3.1229691059111127,4.472157959982116,3.061744105911113,0.061225,0.9467728911111111,9195173.086698217,-9195184.229385788,"{'congested': True, 'oom': False}",arrival_rate,800,0,42
drs,3.0429753985123487,4.480045110461897,2.987573731845682,0.05540166666666667,0.9889443844444444,7572953.943291087,-7572964.678122968,"{'congested': True, 'oom': False}",arrival_rate,800,0,42
our,0.07777295386728307,3.076328524459863,0.04060993497083561,0.037163018896447464,0.9826890911111111,1000.0,-997.3125362448766,"{'congested': True, 'oom': False}",arrival_rate,200,1,43
ffd-m,0.3088304434897704,4.508860396172682,0.2653929434897704,0.0434375,0.9413829733333333,0.0,2.9647081787238294,"{'congested': False, 'oom': False}",arrival_rate,200,1,43
cds-m,0.30834294348977037,4.508860396172682,0.2653929434897704,0.042949999999999995,0.9413829733333333,0.0,2.9671456787238295,"{'congested': False, 'oom': False}",arrival_rate,200,1,43
random-m,0.8725982377334212,4.508860396172682,0.8269482377334212,0.045649999999999996,0.8646446533333333,119822.3555379239,-119822.20966871639,"{'congested': True, 'oom': False}",arrival_rate,200,1,43
greedy-m,0.3174804434897704,4.508860396172682,0.2653929434897704,0.0520875,0.9413829733333333,0.0,2.92145817872383,"{'congested': False, 'oom': False}",arrival_rate,200,1,43
lego,0.30834294348977037,4.508860396172682,0.2653929434897704,0.042949999999999995,0.9413829733333333,0.0,2.9671456787238295,"{'congested': False, 'oom': False}",arrival_rate,200,1,43
drs,0.8746107377334211,4.508860396172682,0.8269482377334212,0.0476625,0.8646446533333333,119822.3555379239,-119822.21973121639,"{'congested': True, 'oom': False}",arrival_rate,200,1,43
our,0.09111455972727395,3.0455490361279036,0.0521398870137441,0.038974672713529855,0.9455350888888889,1000.0,-997.4100237625084,"{'congested': True, 'oom': False}",arrival_rate,300,1,43
ffd-m,0.8650541925013268,4.4124264167247995,0.8163653036124379,0.04868888888888889,0.9782788511111111,563701.8576015793,-563701.7704461251,"{'congested': True, 'oom': False}",arrival_rate,300,1,43
cds-m,0.8650541925013268,4.4124264167247995,0.8163653036124379,0.04868888888888889,0.9782788511111111,563701.8576015793,-563701.7704461251,"{'congested': True, 'oom': False}",arrival_rate,300,1,43
random-m,0.8678964124538546,4.434925098307494,0.8150408568982991,0.05285555555555555,0.9782788511111111,563701.8576015793,-563701.7621585432,"{'congested': True, 'oom': False}",arrival_rate,300,1,43
greedy-m,1.0183607697183141,4.4423196759835255,0.9666411030516475,0.05171966666666667,0.9802385844444444,563701.8576015793,-563702.5070857519,"{'congested': True, 'oom': False}",arrival_rate,300,1,43
lego,0.8650541925013268,4.4124264167247995,0.8163653036124379,0.04868888888888889,0.9782788511111111,563701.8576015793,-563701.7704461251,"{'congested': True, 'oom': False}",arrival_rate,300,1,43
drs,0.9634916984039954,4.444432412462392,0.9118123333246303,0.051679365079365075,0.9412119977777778,563701.8576015793,-563702.2306276589,"{'congested': True, 'oom': False}",arrival_rate,300,1,43
our,0.09385209423986253,3.013833930270178,0.056052887890656176,0.03779920634920635,0.9341719866666667,1000.0,-997.4554265409291,"{'congested': True, 'oom': False}",arrival_rate,400,1,43
ffd-m,2.9356647311520376,4.438401489655116,2.887494173300798,0.048170557851239665,0.9779940466666667,3873133.9254322406,-3873144.165354407,"{'congested': True, 'oom': False}",arrival_rate,400,1,43
cds-m,2.94105450387931,4.489951492790937,2.887494173300798,0.053560330578512394,0.9912178688888889,3996843.245599623,-3996853.4609206496,"{'congested': True, 'oom': False}",arrival_rate,400,1,43
random-m,2.975456579361366,4.442453397522633,2.922146079361366,0.05331050000000001,0.9277033711111111,3873133.9254322406,-3873144.3602617397,"{'congested': True, 'oom': False}",arrival_rate,400,1,43
greedy-m,2.94105450387931,4.489951492790937,2.887494173300798,0.053560330578512394,0.9912178688888889,3996843.245599623,-3996853.4609206496,"{'congested': True, 'oom': False}",arrival_rate,400,1,43
lego,2.94105450387931,4.489951492790937,2.887494173300798,0.053560330578512394,0.9912178688888889,3996843.245599623,-3996853.4609206496,"{'congested': True, 'oom': False}",arrival_rate,400,1,43
drs,2.9356647311520376,4.438401489655116,2.887494173300798,0.048170557851239665,0.9779940466666667,3873133.9254322406,-3873144.165354407,"{'congested': True, 'oom': False}",arrival_rate,400,1,43
our,0.12093987531243394,2.9658671307491087,0.08299399095869245,0.037945884353741494,0.9539803844444444,1000.0,-997.6388322458131,"{'congested': True, 'oom': False}",arrival_rate,500,1,43
ffd-m,3.9364937985398885,4.430115970975102,3.8819071318732217,0.05458666666666667,0.9873575422222223,6713622.262397737,-6713637.514750759,"{'congested': True, 'oom': False}",arrival_rate,500,1,43
cds-m,3.9364937985398885,4.430115970975102,3.8819071318732217,0.05458666666666667,0.9873575422222223,6713622.262397737,-6713637.514750759,"{'congested': True, 'oom': False}",arrival_rate,500,1,43
random-m,3.9364937985398885,4.430115970975102,3.8819071318732217,0.05458666666666667,0.9873575422222223,6713622.262397737,-6713637.514750759,"{'congested': True, 'oom': False}",arrival_rate,500,1,43
greedy-m,3.9364937985398885,4.430115970975102,3.8819071318732217,0.05458666666666667,0.9873575422222223,6713622.262397737,-6713637.514750759,"{'congested': True, 'oom': False}",arrival_rate,500,1,43
lego,3.9364937985398885,4.430115970975102,3.8819071318732217,0.05458666666666667,0.9873575422222223,6713622.262397737,-6713637.514750759,"{'congested': True, 'oom': False}",arrival_rate,500,1,43
drs,3.9364937985398885,4.430115970975102,3.8819071318732217,0.05458666666666667,0.9873575422222223,6713622.262397737,-6713637.514750759,"{'congested': True, 'oom': False}",arrival_rate,500,1,43
our,0.6123082040255976,2.802719239327991,0.5740837503218938,0.038224453703703705,0.90820776,1000.0,-1000.2588217808,"{'congested': True, 'oom': False}",arrival_rate,600,1,43
ffd-m,4.0380916227626455,4.430072567927443,3.983491622762646,0.0546,0.9873575422222223,9715944.617935665,-9715960.37832121,"{'congested': True, 'oom': False}",arrival_rate,600,1,43
cds-m,4.0380916227626455,4.430072567927443,3.983491622762646,0.0546,0.9873575422222223,9715944.617935665,-9715960.37832121,"{'congested': True, 'oom': False}",arrival_rate,600,1,43
random-m,4.0380916227626455,4.430072567927443,3.983491622762646,0.0546,0.9873575422222223,9715944.617935665,-9715960.37832121,"{'congested': True, 'oom': False}",arrival_rate,600,1,43
greedy-m,4.0380916227626455,4.430072567927443,3.983491622762646,0.0546,0.9873575422222223,9715944.617935665,-9715960.37832121,"{'congested': True, 'oom': False}",arrival_rate,600,1,43
lego,4.0380916227626455,4.430072567927443,3.983491622762646,0.0546,0.9873575422222223,9715944.617935665,-9715960.37832121,"{'congested': True, 'oom': False}",arrival_rate,600,1,43
drs,4.0380916227626455,4.430072567927443,3.983491622762646,0.0546,0.9873575422222223,9715944.617935665,-9715960.37832121,"{'congested': True, 'oom': False}",arrival_rate,600,1,43
our,0.36678745982813377,2.871112466431377,0.3295390685097016,0.03724839131843214,0.9619410422222222,31798.260920712084,-31797.223745544794,"{'congested': True, 'oom': False}",arrival_rate,700,1,43
ffd-m,4.079826660506023,4.430041565750543,4.025217136696499,0.05460952380952381,0.9873575422222223,12765111.284602325,-12765127.253694063,"{'congested': True, 'oom': False}",arrival_rate,700,1,43
cds-m,4.079826660506023,4.430041565750543,4.025217136696499,0.05460952380952381,0.9873575422222223,12765111.284602325,-12765127.253694063,"{'congested': True, 'oom': False}",arrival_rate,700,1,43
random-m,4.079826660506023,4.430041565750543,4.025217136696499,0.05460952380952381,0.9873575422222223,12765111.284602325,-12765127.253694063,"{'congested': True, 'oom': False}",arrival_rate,700,1,43
